id,t_depart_secs,t_arrival_secs,t_traveltime_secs,origin,destiny,route_detail,route_path_num,is_attended,has_finished
3159,11,290,279,14/10to14/9,2/3to3/3,14/10to14/9:14/9to13/9:13/9to12/9:12/9to11/9:11/9to10/9:10/9to9/9:9/9to8/9:8/9to7/9:7/9to6/9:6/9to5/9:5/9to4/9:4/9to3/9:3/9to2/9:2/9to2/8:2/8to2/7:2/7to2/6:2/6to2/5:2/5to2/4:2/4to2/3:2/3to3/3:,20,False,True
2072,11,216,205,8/4to8/3,12/15to12/14,8/4to8/3:8/3to8/4:8/4to8/5:8/5to8/6:8/6to8/7:8/7to8/8:8/8to8/9:8/9to8/10:8/10to8/11:8/11to8/12:8/12to8/13:8/13to9/13:9/13to10/13:10/13to10/14:10/14to11/14:11/14to11/15:11/15to12/15:12/15to12/14:,18,True,True
2578,11,220,209,14/6to14/7,4/12to4/13,14/6to14/7:14/7to13/7:13/7to12/7:12/7to11/7:11/7to10/7:10/7to9/7:9/7to8/7:8/7to7/7:7/7to6/7:6/7to5/7:5/7to4/7:4/7to4/8:4/8to4/9:4/9to4/10:4/10to4/11:4/11to4/12:4/12to4/13:,17,False,True
735,12,105,93,9/11to9/12,11/8to12/8,9/11to9/12:9/12to10/12:10/12to10/11:10/11to10/10:10/10to10/9:10/9to10/8:10/8to11/8:11/8to12/8:,8,False,True
2769,12,122,110,bottom7to7/0,0/1toleft1,bottom7to7/0:7/0to6/0:6/0to5/0:5/0to4/0:4/0to3/0:3/0to2/0:2/0to1/0:1/0to0/0:0/0to0/1:0/1toleft1:,10,False,True
2228,12,85,73,4/9to4/10,7/11to7/12,4/9to4/10:4/10to4/11:4/11to5/11:5/11to6/11:6/11to7/11:7/11to7/12:,6,True,True
2586,13,59,46,9/8to9/7,8/6to8/5,9/8to9/7:9/7to8/7:8/7to8/6:8/6to8/5:,4,True,True
3001,13,230,217,left2to0/2,6/13to7/13,left2to0/2:0/2to0/3:0/3to0/4:0/4to0/5:0/5to0/6:0/6to0/7:0/7to0/8:0/8to0/9:0/9to0/10:0/10to0/11:0/11to0/12:0/12to0/13:0/13to1/13:1/13to2/13:2/13to3/13:3/13to4/13:4/13to5/13:5/13to6/13:6/13to7/13:,19,True,True
2039,14,116,102,3/7to4/7,8/9to8/10,3/7to4/7:4/7to4/8:4/8to4/9:4/9to5/9:5/9to6/9:6/9to7/9:7/9to8/9:8/9to8/10:,8,False,True
1657,15,267,252,13/5to12/5,1/10to2/10,13/5to12/5:12/5to11/5:11/5to10/5:10/5to9/5:9/5to8/5:8/5to7/5:7/5to6/5:6/5to5/5:5/5to4/5:4/5to3/5:3/5to2/5:2/5to1/5:1/5to1/6:1/6to1/7:1/7to1/8:1/8to1/9:1/9to1/10:1/10to2/10:,18,True,True
2755,15,109,94,7/2to6/2,2/4to2/5,7/2to6/2:6/2to5/2:5/2to4/2:4/2to3/2:3/2to2/2:2/2to2/3:2/3to2/4:2/4to2/5:,8,False,True
1236,15,73,58,6/4to5/4,3/5to4/5,6/4to5/4:5/4to4/4:4/4to3/4:3/4to3/5:3/5to4/5:,5,False,True
